2016-02-23 18:35:41,428 [WrapperListener_start_runner] INFO  (BrokerPool.java [<init>]:686) - database instance 'exist' will wait  120,000 ms during shutdown 
2016-02-23 18:35:41,429 [WrapperListener_start_runner] INFO  (BrokerPool.java [<init>]:692) - database instance 'exist' is enabled for transactions : true 
2016-02-23 18:35:41,493 [WrapperListener_start_runner] INFO  (QuartzSchedulerImpl.java [getQuartzProperties]:114) - Succesfully loaded quartz.properties 
2016-02-23 18:35:41,965 [WrapperListener_start_runner] INFO  (DefaultCacheManager.java [<init>]:151) - Cache settings: 131,072k; totalPages: 32,768; maxCacheSize: 29,491; cacheShrinkThreshold: 10,000 
2016-02-23 18:35:42,006 [WrapperListener_start_runner] INFO  (XQueryPool.java [<init>]:120) - QueryPool: size = 128; maxStackSize = 5; timeout = 120,000; timeoutCheckInterval = 30,000 
2016-02-23 18:35:42,272 [WrapperListener_start_runner] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.ngram.NGramIndex as ngram-index 
2016-02-23 18:35:43,136 [WrapperListener_start_runner] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.lucene.LuceneIndex as lucene-index 
2016-02-23 18:35:43,148 [WrapperListener_start_runner] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.sort.SortIndex as sort-index 
2016-02-23 18:35:43,237 [WrapperListener_start_runner] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.indexing.range.RangeIndex as range-index 
2016-02-23 18:35:43,242 [WrapperListener_start_runner] INFO  (IndexManager.java [initIndex]:99) - Registered index org.exist.storage.structural.NativeStructuralIndex as structural-index 
2016-02-23 18:35:44,428 [WrapperListener_start_runner] INFO  (NativeBroker.java [sync]:3588) - Memory: 506,816K total; 1,013,632K max; 476,146K free 
2016-02-23 18:35:44,429 [WrapperListener_start_runner] INFO  (BTree.java [printStatistics]:2549) - dom.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 100% 
2016-02-23 18:35:44,430 [WrapperListener_start_runner] INFO  (DOMFile.java [printStatistics]:1360) - dom.dbx DATA Buffers occupation : 2% (5 out of 256) Cache efficiency : 99% 
2016-02-23 18:35:44,430 [WrapperListener_start_runner] INFO  (BTree.java [printStatistics]:2549) - collections.dbx INDEX Buffers occupation : 2% (1 out of 64) Cache efficiency : 96% 
2016-02-23 18:35:44,430 [WrapperListener_start_runner] INFO  (BFile.java [printStatistics]:436) - collections.dbx DATA Buffers occupation : 2% (1 out of 64) Cache efficiency : 94% 
2016-02-23 18:35:44,430 [WrapperListener_start_runner] INFO  (BTree.java [printStatistics]:2549) - values.dbx INDEX Buffers occupation : 0% (0 out of 64) Cache efficiency : N/A 
